Time	Iteration	LossDelta	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
11.99943995475769	0	0.00790215	21.0294117647	11.2090138768	96.0	9.0	21.0294117647	11.2090138768	5005	5005
17.908109664916992	1	0.00978279	21.2627118644	10.9102097776	64.0	9.0	21.2627118644	10.9102097776	5018	10023
23.882592916488647	2	0.00552559	20.975	10.8956891323	90.0	9.0	20.975	10.8956891323	5034	15057
30.09180450439453	3	0.00282288	21.4849785408	10.7771410895	83.0	8.0	21.4849785408	10.7771410895	5006	20063
36.07789874076843	4	0.00818253	21.3931623932	11.6926138311	81.0	8.0	21.3931623932	11.6926138311	5006	25069
42.35131764411926	5	0.00521088	20.2550607287	10.4944425574	66.0	9.0	20.2550607287	10.4944425574	5003	30072
48.362796783447266	6	-0.00168037	20.9539748954	9.70064349413	68.0	9.0	20.9539748954	9.70064349413	5008	35080
53.72784876823425	7	0.00747108	21.3803418803	10.7598393795	74.0	8.0	21.3803418803	10.7598393795	5003	40083
59.702397108078	8	-0.000747681	21.1139240506	11.3765478013	80.0	8.0	21.1139240506	11.3765478013	5004	45087
65.10135459899902	9	0.00269127	21.4444444444	11.7654749483	94.0	8.0	21.4444444444	11.7654749483	5018	50105
71.01899790763855	10	0.00529861	22.185840708	12.2297683193	86.0	8.0	22.185840708	12.2297683193	5014	55119
77.15656280517578	11	0.00395775	20.7107438017	11.1891609421	75.0	8.0	20.7107438017	11.1891609421	5012	60131
83.4203987121582	12	0.00385094	22.5	11.6239438844	96.0	8.0	22.5	11.6239438844	5040	65171
89.33163046836853	13	0.00191116	22.2711111111	11.8873344778	84.0	8.0	22.2711111111	11.8873344778	5011	70182
95.31516599655151	14	0.00328064	22.6606334842	14.2231007545	153.0	9.0	22.6606334842	14.2231007545	5008	75190
101.4107813835144	15	0.00216103	22.4573991031	11.9879134369	82.0	8.0	22.4573991031	11.9879134369	5008	80198
107.58200263977051	16	0.00415421	23.1990740741	11.777733192	73.0	8.0	23.1990740741	11.777733192	5011	85209
113.8247275352478	17	0.00602913	23.2314814815	13.475702745	118.0	9.0	23.2314814815	13.475702745	5018	90227
119.16751217842102	18	0.0045681	22.32	11.9120779044	86.0	9.0	22.32	11.9120779044	5022	95249
125.23567509651184	19	0.0067749	22.8636363636	12.8773778194	97.0	8.0	22.8636363636	12.8773778194	5030	100279
131.28690719604492	20	0.0057373	22.2444444444	12.2124809665	81.0	8.0	22.2444444444	12.2124809665	5005	105284
137.36446380615234	21	0.00571632	22.4642857143	14.2333414982	111.0	9.0	22.4642857143	14.2333414982	5032	110316
143.37439370155334	22	0.00502396	23.4579439252	11.9865815739	66.0	9.0	23.4579439252	11.9865815739	5020	115336
149.1712212562561	23	0.00601959	23.162037037	13.6892308146	83.0	8.0	23.162037037	13.6892308146	5003	120339
155.46863079071045	24	0.00585747	22.9633027523	11.9616563284	78.0	9.0	22.9633027523	11.9616563284	5006	125345
161.4267098903656	25	0.00573158	22.6380090498	11.7513917004	68.0	9.0	22.6380090498	11.7513917004	5003	130348
167.55857872962952	26	0.00485611	22.5945945946	12.9544443508	92.0	8.0	22.5945945946	12.9544443508	5016	135364
173.60398650169373	27	0.00150299	21.7012987013	11.0908077086	73.0	9.0	21.7012987013	11.0908077086	5013	140377
179.87687063217163	28	0.00756454	23.956937799	14.2521067762	91.0	8.0	23.956937799	14.2521067762	5007	145384
185.91803240776062	29	0.00624847	23.7630331754	12.5184511516	77.0	8.0	23.7630331754	12.5184511516	5014	150398
192.1911265850067	30	0.00936317	23.6603773585	12.9519334846	91.0	9.0	23.6603773585	12.9519334846	5016	155414
197.06577014923096	31	0.00850487	25.4517766497	13.7232974457	74.0	9.0	25.4517766497	13.7232974457	5014	160428
202.54327368736267	32	0.00832558	25.9076923077	14.3445403643	78.0	9.0	25.9076923077	14.3445403643	5052	165480
209.0545892715454	33	0.00489807	24.3980582524	11.4296835535	65.0	8.0	24.3980582524	11.4296835535	5026	170506
215.22437453269958	34	0.00505257	22.9770642202	11.6360885403	70.0	9.0	22.9770642202	11.6360885403	5009	175515
221.1058428287506	35	0.012661	25.7025641026	14.7050922138	96.0	8.0	25.7025641026	14.7050922138	5012	180527
226.64946484565735	36	0.0104275	26.3578947368	15.6261695407	102.0	9.0	26.3578947368	15.6261695407	5008	185535
232.55203247070312	37	0.00970078	26.078125	16.9818880424	140.0	9.0	26.078125	16.9818880424	5007	190542
237.9114978313446	38	0.00470924	23.9238095238	14.0225636119	95.0	9.0	23.9238095238	14.0225636119	5024	195566
243.20622038841248	39	0.00762367	25.7025641026	14.084133411	98.0	8.0	25.7025641026	14.084133411	5012	200578
249.28212428092957	40	0.00687408	26.6329787234	14.2413982123	84.0	9.0	26.6329787234	14.2413982123	5007	205585
255.17843079566956	41	0.00988579	27.3715846995	15.1142700712	99.0	9.0	27.3715846995	15.1142700712	5009	210594
261.12184023857117	42	0.00502777	26.3210526316	13.8957425872	95.0	9.0	26.3210526316	13.8957425872	5001	215595
267.0544054508209	43	0.00644684	26.2408376963	13.4812107885	89.0	9.0	26.2408376963	13.4812107885	5012	220607
272.71550965309143	44	0.00754547	26.6436170213	14.1502429008	96.0	9.0	26.6436170213	14.1502429008	5009	225616
278.7493484020233	45	0.0113697	28.1573033708	15.8896467433	89.0	9.0	28.1573033708	15.8896467433	5012	230628
285.07045888900757	46	0.0118599	28.5170454545	16.7664350956	120.0	10.0	28.5170454545	16.7664350956	5019	235647
291.28426575660706	47	0.0106812	27.4432432432	17.0870037628	133.0	9.0	27.4432432432	17.0870037628	5077	240724
297.5069019794464	48	0.019516	28.7988505747	18.3281016208	132.0	9.0	28.7988505747	18.3281016208	5011	245735
