Time	Iteration	LossDelta	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
8.72049856185913	0	0.00814342	20.9411764706	12.7300967523	72.0	9.0	20.9411764706	12.7300967523	1068	1068
9.963817596435547	1	0.00742817	21.7659574468	8.99222540311	47.0	10.0	21.7659574468	8.99222540311	1023	2091
11.260343074798584	2	0.0063467	22.7111111111	10.8681435034	57.0	10.0	22.7111111111	10.8681435034	1022	3113
12.647034645080566	3	0.0036602	20.16	8.34352443515	41.0	9.0	20.16	8.34352443515	1008	4121
14.019500732421875	4	0.00586224	20.4285714286	7.44777737014	42.0	11.0	20.4285714286	7.44777737014	1001	5122
15.388553380966187	5	0.00752258	23.3255813953	13.4297845491	78.0	10.0	23.3255813953	13.4297845491	1003	6125
16.669935703277588	6	-0.000370502	17.186440678	5.68815175449	34.0	9.0	17.186440678	5.68815175449	1014	7139
17.87262463569641	7	0.00706005	23.2954545455	13.4546030404	72.0	8.0	23.2954545455	13.4546030404	1025	8164
19.08302354812622	8	0.00487328	20.32	11.8801346794	70.0	10.0	20.32	11.8801346794	1016	9180
20.37451171875	9	0.00449753	21.0	9.34745954792	51.0	10.0	21.0	9.34745954792	1008	10188
21.688879251480103	10	0.00633335	23.8837209302	13.7404669741	92.0	8.0	23.8837209302	13.7404669741	1027	11215
22.893693447113037	11	0.00187969	20.6326530612	10.2034285505	45.0	9.0	20.6326530612	10.2034285505	1011	12226
23.946370124816895	12	0.00489235	19.8235294118	9.06124235596	46.0	10.0	19.8235294118	9.06124235596	1011	13237
25.243266582489014	13	0.00282192	21.2083333333	10.6104475505	56.0	8.0	21.2083333333	10.6104475505	1018	14255
26.48842763900757	14	0.00406837	21.8043478261	12.4666852838	65.0	9.0	21.8043478261	12.4666852838	1003	15258
27.784064531326294	15	0.00267124	24.9512195122	11.1485561124	58.0	8.0	24.9512195122	11.1485561124	1023	16281
29.09630012512207	16	0.00603008	20.54	15.2147428503	98.0	9.0	20.54	15.2147428503	1027	17308
30.34458565711975	17	0.00335312	21.7608695652	10.6631930584	60.0	9.0	21.7608695652	10.6631930584	1001	18309
31.668023109436035	18	0.00393581	22.4782608696	11.3745312955	55.0	8.0	22.4782608696	11.3745312955	1034	19343
32.95379614830017	19	0.00643444	24.0952380952	11.9797637384	50.0	9.0	24.0952380952	11.9797637384	1012	20355
34.30863165855408	20	0.0072422	25.75	17.1693768087	90.0	9.0	25.75	17.1693768087	1030	21385
